ccode,dem_rank14,dem_score14,lifeex_f,lifeex_m,unmort_f,unmort_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,ungr9095,fertility,untfr95,govregrel,gri_08r,gfi2008,gfi_08r,msri2008,msri_08r,spendeduc,ciaedex,spendhealth,spendmil,unexp_rd,hdi,hdi05,hdi_rank_change,pop_age,sexratio,unsexr10,unsexr90,pop_total,unpop30,unpop90,pop_urban,urban03,urban06,unemrt08,unemrt91,unin_inc,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,confidence,dem_other,democ11,durable,effectiveness,dnpp_3,fhrate04_rev,fhrate08_rev,frac_eth,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,gdp08,gdp_10_thou,gdppcap08,gdppcap08_3,gini04,gini04_4,gini08,gini10,indy,polity,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,dem_economist,democyes,vdem_ldi_rank,vdem_ldi,vdem_edi,vdem_liberal_comp,vdem_equality_comp,vdem_partic_comp,vdem_delib_comp,coup_attempts,coups,frac_lang,frac_relig,educ_f_avgyrs,educ_m_avgyrs,educ_f_none,educ_m_none,democ_bin_bmr,rights_assn,rights_dommov,rights_formov,rights_injud,rights_relfree,rights_speech,rights_wecon,rights_wopol,rights_worker,dpi_cemo,dpi_pr,dpi_system,global_social,unco2_06,carbon_footprint,eco_footprint,liberty_index_eiu,envir_treaty,govt_help_cap,human_flight,rights_law_index,refugees_impact,democ_fh_polity,laws_protect_prop,bribe_judge,bribe_police,pol_terror_scale_ai,pol_terror_scale_hrw,indep_judiciary,const_age,govt_quality,media_access_cand,media_access_parties,press_freedom_fh,legal_quality,legal_origin,election_violence_pre,election_violence_post,ocean_health,election_integrity,gas_production,oil_production,press_freedom_rsf,corrupt_perception,conflict_internal,conflict_internat,human_develop,terror_index_voh,violence_cost,conflict_index,militarization,soldiers_percent,soldiers_total,energy_renew_percent,business_starts,debt_wdi,spendmil_wdi,immigrants_percent,migration_net,infant_mortality,refugees_in,refugees_from,self_employed,unemployed,hiv_percent,econ_compete,schools_internet,judicial_indep_wef,organized_crime,educ_quality,happiness,rights_treaties,icc_treaty_ratified,trade_percent_gdp,peace_index_rank,peace_index_score,internet_freedom,imprisonment_rate,homicide_rate,autoc,ciagdpag,ciagdpin,ciagdpsv,ciainfla,ciaingro,ciapop,ciapopgr,ciaunemp,decentralization,enpp_3,old06,old2003,pop03,pop08,poverty,unfempf,ungdp,ungdpcap,ungdpppp,unineduc,unjourn,unlit,unmobcov,unnewsp,unnoncom,unsathlt,unsati,unsatif,unsatjob,unsatliv,unseced,yng2003,young06,regionun,country,cabrv,dem_level4,i_gvtreg,i_gvtfav,i_socreg,religion,colony,decent08,dem_other5,democ,democ_regime,democ_regime08,district_size3,enpp3_democ,enpp3_democ08,eu,frac_eth2,frac_eth3,free_overall_4,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gender_equal3,hi_gdp,muslim,natcode,oecd,pmat12_3,pr_sys,protact3,regime_type3,vi_rel3,womyear2,death_penalty_status,internet_status,civil_war,democ08,pop08_3,popcat3,region,typerel,unname
140,166,1.49,51.35,48.84,467,448,48.6,0,41,55.3,3.7,2.6,4.63,5.7,3.889,4,1.833,2,3.667,4,1.3,1.3,1.4,1.6,,.315,.299,-1,19.5,100,100,99.9,4.5,6.1,2.9,38.9,42.675,38.18,72.6,73.3,.17,.768,132,44,50.07,,,40.8,,7,12.766,3,2.5,4,.83,37.5,20,30,65.5,94.1,40,50.7,68.3,20,58.1,48.4,3.3,.027,736,1,61.3,4,61.3,43.6,1960,,0,,850,.4,,,,,50.28,,10.5,,12.5,1986,0,100,106,.308,.511,.522,.612,.301,.662,5,4,.833,.792,2.354,4.885,66.97,38.347,0,1,1,0,0,0,0,1,2,1,1,0,0,17.504,.1,.08,1.24,2.35,47,7.8,7,9.5,10,2.5,2.086,,,5,5,0,1,,1,1,,.3,2,1,0,,,0,0,26.61,25,0,2,.3477,5.08,29.7,3.235,2.142,.365,8150,,,,2.597,1.811,10000,96.1,14322,252865,,7.4,,,,,,,3.678,7,1,42.74,155,3.213,,16,11.8,,55,20,25,.9,3,4950027,2.146,8,,3,4.061578,3.501479,3880847,4.4,,,2,458,3.2,.163,0,54.6,19,,868,81,4.6,,78,31,9.3,41.84214,42.81444,1,28,23,1,3,2,3,7,2,3,3,1,2,1,3,3,,2,1,1,2,2,2,2,2,2,,2,1,28,1,,1,,,,2,3,,3,1,1,2,1,5,28
148,165,1.5,49.43,47.28,429,465,25.7,115000,46,51,2.9,3.1,5.05,6.7,6.389,6,5.4,5,5.667,6,1.9,3.2,2.7,6.6,,.295,.299,-6,17.1,101,101,100.9,11.5,19,6.1,27.6,24.9576,25.76,69.7,66.6,.229,,,45,48.33,,,40.8,1,8,28.842,2,2.5,1,.862,32.7,16,40,50.5,89.2,45,46.9,76.7,20,58.4,47.5,16.1,.024,1455,1,,,,39.8,1960,-2,0,,4233,1.2,,,,,68.99,,,,14.9,1958,0,0,158,.099,.293,.196,.234,.372,.349,7,1,.864,.641,,,,,0,2,2,1,0,2,0,0,2,1,1,1,0,20.402,0,.01,1.46,2.65,49,7.7,8.3,9.5,9.8,2.42,2.806,,,3,3,0,1,,1,1,2.519,.229,2,0,0,,,0,4875761,34.87,19,0,2,.3885,.21,11.9,2.165,2.211,.715,34850,,,,5.016,3.264,100000,88.4,434479,48644,,7.1,3.1,2.85081,1.349,2.024,3.297,2.681,3.508,9,1,68.01,135,2.495,,39,7.3,3,50.5,7,42.5,4,3,10758945,2.009,,,2,3.013072,2.814049,8581741,11.1,80,,8.4,770,14.6,.119,0,32.7,24,,910,69,5.4,5,78,52,,48.01015,47.30024,1,29,146,1,3,3,3,3,2,3,3,1,1,1,3,,,2,1,1,2,2,2,2,2,2,,2,2,29,1,,1,,1,,2,4,,2,1,1,2,1,3,29
152,32,7.8,81.13,74.44,60,116,95.7,10850,22.3,68.1,9.6,1.8,1.88,2.6,0,0,6.933,7,2.667,3,3.4,4,3.7,3.5,.7,.783,.762,2,32.1,103.8,103.8,103.6,17.1,19.8,13.2,89,86.557,87.88,50.6,50.6,.448,.505,53,47,77.7,6.2,58.368,87.5,10,11,74.704,3,7,12,.186,64.8,69,70,77.5,89.6,80,75.4,73,85,88,77.2,242.4,.412,14465,3,57.1,4,54.9,52,1810,10,1,15.9,113,32.5,,0,0,66.49,81.69,12.5,15,14.2,14.2,1931,1,100,24,.752,.828,.912,.565,.559,.921,2,1,.187,.384,9.601,10.029,3.19,2.704,1,1,2,2,2,2,2,1,2,1,0,0,0,52.213,3.7,2.04,4.36,9.71,119,3.9,2.9,3.7,2.6,10,7.013,.073,.043,2,2,1,0,.75,1,1,7.545,.811,2,0,0,,8.842,6.247,331954.3,26.24,71,,,.83,3.17,6.4,1,1.601,1.233,106100,4.668,8.03,,1.945,1.883,201289,7.3,1743,596,26.6,6,.5,4.60705,4.853,5.289,5.401,3.618,6.74,16,1,56.09,24,1.595,,241,3.1,0,5.6,40.5,53.9,1.7,3.2,16888760,.836,8.7,1.51,3,8.295155,7.424518,1.58e+07,16.8,11.5,1.02,169.5,10084,242.4,.656,0,98.6,100,51,458,73,6.3,6.2,81,68,51.8,26.91617,24.29441,6,30,26,4,4,1,2,2,8,2,5,2,2,2,2,3,3,2,2,2,1,1,1,1,1,1,2,1,1,30,1,1,2,3,3,1,1,2,,3,1,3,2,6,6,30
156,144,3,76.94,72.68,84,140,91.6,3991000,17.6,73.6,8.9,1.2,1.54,2,9.167,9,2,2,4.333,4,1.9,,1.9,2,1.5,.663,.616,8,34.2,121.2,121.2,110.4,1354.1,1462.5,1142.1,47,38.6518,41.3,75.1,75.1,.412,.405,38,52,74.68,17.5,73.789,58.3,0,51,50.827,,1.5,1,.154,49.7,36,30,70.2,88.1,20,53.2,70.6,20,72.2,51,7900,.099,5962,2,44.7,3,46.9,41.5,,-7,0,54.7,1233,22.5,2.8,37,1.1,,,,,,21.3,1949,0,0,169,.056,.096,.19,.448,.149,.607,0,0,.133,.664,6.986,8.048,9.771,3.48,0,0,0,0,0,0,0,1,2,0,0,,1,53.318,4.6,2.32,3.38,1.47,93,3.9,4.8,9.1,5.9,1.17,5.855,.138,.095,4,4,0,0,.472,,,1.117,.453,3,,,63.65,,744.611,2.07e+08,73.07,40,0,1,.7233,5.08,3.5,1.942,2.043,.373,2993000,4.337,,,2.015,.051,-1800000,10.6,301047,195137,,4.6,.1,4.836339,5.316,4.008,4.702,4.017,5.241,8,0,37.06,116,2.242,12,118,1,7,9.6,46.8,43.6,5,11,1336718015,.493,4.3,1.86,,7.729043,7.296793,1.29e+09,1300,2.8,,4327,3267,7903.2,.453,24,93.7,97,74,627,80,6.4,,78,60,38.4,23.64884,20.88731,2,31,27,1,1,2,3,1,10,1,4,1,1,1,,,,2,2,2,2,2,3,2,3,2,,2,1,31,1,2,1,2,1,2,2,4,1,3,2,3,1,2,7,31
170,62,6.55,78.03,71.27,75,162,90.4,785000,26.7,67.2,6.1,1.9,2.15,3,2.222,2,8,8,8.333,8,3.9,4.8,5.1,3.7,.2,.689,.658,2,26.8,104.3,104.3,104.1,46.3,57.3,33.2,75.1,76.4788,73,52.1,52.1,.344,.658,90,55,74.55,44.8,,87.5,7,43,37.352,1,4,7,.601,83.6,38,60,74.3,74.8,55,72.7,74,50,72.5,65.5,395.7,.185,8885,2,57.6,4,58.6,58.5,1810,7,0,7,1874,38.5,45.1,109,2,,35.72,12,8.4,12.1,12.1,1954,1,100,63,.524,.68,.743,.462,.613,.83,4,2,.019,.148,8.404,8.566,7.833,8.037,1,1,2,1,1,2,1,1,2,1,0,1,0,47.715,1.4,.67,1.87,8.82,97,4.1,7,7.1,8,7.17,4.138,.183,.267,4,4,0,1,.417,1,1,4.74,.504,2,0,0,60.7,7.33,86.731,5.00e+07,37.48,36,1,0,.7179,6.44,36.9,2.241,2.106,1.907,455750,12.969,2,65.45,3.421,.24,-144998,14.5,224,396635,52.5,9.6,.5,4.192899,3.92,3.044,2.806,3.482,6.607,14,1,34.68,146,2.777,68,229,30.8,0,9.3,38,52.7,3.1,5.5,44725543,1.156,11.8,,1,5.185354,4.761569,4.46e+07,44.5,45.5,1.01,243.8,5416,395.7,.482,0,93.4,83,23,483,84,7.3,7.3,82,69,31.3,31.76542,30.57478,6,32,32,4,2,1,1,2,2,1,5,2,2,2,2,1,1,2,1,1,3,2,3,1,3,1,3,2,1,32,1,,2,3,3,3,2,1,2,1,1,3,1,6,6,32
174,127,3.52,66.72,61.76,231,286,56.5,0,41.6,55.3,3.1,2.4,4.72,5.1,9.444,9,6.733,7,10,10,7.6,7.6,1.9,,,.428,.423,-8,21.1,103.4,103.4,102.7,.7,1,.4,28.2,35.0286,37.68,69.4,70,.14,,,56,64.2,,,40.8,9,0,26.714,,4,7,0,43.7,25,20,65,85.1,10,31.4,76.4,30,62.4,44.9,.8,.044,1169,1,,,,64.3,1975,9,0,,1441,3.6,,22,2.3,,66.65,,,3,3,1956,0,0,95,.342,.485,.641,.626,.543,.636,9,4,.01,.014,,,,,1,2,2,2,1,1,1,1,1,0,0,0,0,27.8,.1,.25,1.03,3.82,34,8.3,7.5,6.9,4.8,7.67,,,,,1,1,1,,1,,,.414,,0,0,,5.667,0,0,24.52,28,,,.5013,,,,,,,,,,,1.936,-10000,58.2,0,515,,6.5,,,,,,,3.956,4,1,64.7,,,,19,10,0,40,4,56,3,,794683,2.696,20,,,2.701429,2.629256,600141.8,.6,60,,.5,824,.8,.185,0,73.6,40,,713,67,,,,23,,41.9486,41.76313,1,33,33,1,1,1,1,3,2,,3,2,1,2,3,,,2,2,2,2,2,2,2,2,2,,2,2,33,1,,1,,1,,2,4,,3,1,2,3,1,3,33
180,162,1.75,56.8,53.9,373,443,67.2,16360,44.4,53,2.6,3.9,5.24,7.1,2.222,2,2.9,3,6,6,,,1.2,1.4,.5,.239,.223,0,16.6,100.7,100.7,100.8,67.8,108.6,37,35.2,,,66.7,67.8,.07,.814,137,57,55.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,71.3,,,,,,,,,,0,,150,.116,.302,.242,.388,.371,.409,4,2,.87,.702,2.333,4.969,54.677,33.23,0,0,0,0,0,2,0,0,2,0,1,1,0,15.456,0,.07,.82,1.76,70,8.2,7.2,10,9.9,4.58,2.296,.643,.704,5,5,0,1,.139,1,1,,.247,2,1,1,47.12,,0,996000,41.66,22,1,2,.4296,5.75,11.2,3.121,2.196,.479,134250,3.318,.05,,1.428,.674,-95920,78.3,113362,499541,,8.2,,,,,,,4.497,12,1,54.59,153,3.061,,29,28.3,,37.4,26,36.6,26.2,,71712867,2.614,,,,,,,,71,,11.7,182,20.2,.244,0,66.6,,,921,74,4.4,3.6,60,40,19.5,,,1,34,30,1,2,2,3,2,,3,,1,,1,,,,,,,,,,2,2,2,,,1,,,,,,,,,4,,2,1,,,,,42
178,146,2.89,56.25,53.62,374,389,83.8,274400,45.6,51.7,2.8,2.6,5.68,5.2,0,0,0,0,1.667,2,1.8,1.9,1.7,1.1,,.489,.47,-4,19.5,101.7,101.7,101.8,3.8,5.5,2.4,62.1,,,64.6,65.5,.36,.744,121,58,54.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,19275,4.3,42.3,4,.1,,,,,,,,0,,153,.108,.272,.243,.337,.358,.686,7,3,.687,.664,4.896,6.507,42.624,21.084,0,1,2,2,1,2,1,0,2,1,1,0,0,25.349,.4,.47,1.29,3.24,,6.7,6.5,7.6,8.1,2.75,2.778,,,4,3,0,1,.278,1,1,,.341,2,3,3,,,10.885,1.32e+07,28.2,22,,,.5818,1.51,15.1,1.655,2.028,.672,12000,4.12,,,2.606,3.522,-60000,35.9,51037,11751,,6.6,,,,,,,3.955,11,1,136.52,124,2.334,,27,12.5,,4.4,63.7,32,5.2,12,4243929,2.835,,,,,,,,,,10.7,2966,14.3,.33,0,,53,,716,62,3.6,,67,32,34.8,,,1,35,31,1,4,4,2,2,,,,1,,1,,,,,,,,,,2,3,2,,,1,,,,,,,,,1,,3,1,,,,,34
188,24,8.03,80.46,75.1,68,124,94.9,0,24.6,69.1,6.4,2.4,1.93,3,1.389,1,8.1,8,4.333,4,5,6.3,5.9,0,.4,.725,.708,-1,28.2,104.8,104.8,105.1,4.6,5.8,3.1,64.4,60.5698,62.22,56.3,56.3,.428,.501,51,60,77.72,42.4,,87.5,10,80,55.319,2,7,12,.237,59.3,51,50,82.4,87,70,59,67.8,50,82.5,65.9,50.9,.427,11241,2,46.5,3,49.8,48.9,1821,10,1,13.1,540,32.3,23.9,134,2,54.01,81,35.1,36.8,38.6,38.6,1949,1,100,6,.844,.897,.944,.873,.605,.942,0,0,.049,.241,7.887,7.965,5.246,5.719,1,2,2,1,1,1,2,3,3,1,0,1,0,62.953,1.8,1.37,2.84,9.71,80,4.6,3.2,2.3,4.4,10,6.247,,,,2,0,1,.472,0,0,9.182,.677,2,0,0,67.28,9.625,0,0,12.08,53,,,.7638,0,7.8,1.201,1.705,.43,9800,38.701,1.1,,,10.763,19658,8.7,20569,462,24.5,8.5,.3,4.347728,4.576,4.819,5.27,4.873,7.158,17,1,63.52,34,1.701,,352,8.5,0,6.3,22.9,70.8,5.8,3,4576562,1.308,7.3,,2,5.92502,5.800696,4004680,4.5,16,1,29.7,6564,50.7,.519,0,96,69,65,439,90,8.5,8.5,88,83,29.9,29.81476,27.76021,6,36,35,2,2,1,3,2,8,1,5,2,2,2,1,2,2,2,2,2,3,1,1,1,3,1,1,1,1,34,1,,2,,3,,2,1,,3,1,1,2,6,6,35
191,50,6.93,79.6,72.17,65,163,98.1,23960,15.1,68.1,16.9,.7,1.43,1.5,0,0,7.933,8,6,6,3.9,4.6,6.6,1.9,.9,.767,.752,-2,41.6,105.8,105.8,104.9,4.4,4.2,4.5,57.7,58.992,56.76,49.9,49.9,.512,.345,30,62,75.79,55,44.175,63,9,0,51.064,,6,10,.369,61.5,44,60,70.3,47.1,65,40.8,75.8,40,87.8,59.2,84.6,.503,19084,3,29,1,29,29,1991,9,1,,632,50.5,11.1,361,2.3,70.84,71.48,21.7,20.9,23.8,23.8,1945,1,100,53,.579,.714,.796,.731,.567,.676,0,0,.076,.445,11.042,11.944,2.938,.789,1,1,2,2,2,2,1,2,2,1,0,1,2,71.444,5.2,2.21,3.92,8.24,117,5,4.6,4.4,5.2,9.33,5.707,.032,.032,1,1,1,1,.611,1,1,6.494,.578,,0,0,71.12,8,10.291,597463.6,26.61,48,0,1,.8171,.23,6.1,1.043,1.649,1.055,19550,5.577,4.63,,1.656,15.844,-20000,4,684,49760,18.1,17.3,.1,4.126225,4.672,2.969,5.525,3.356,5.885,14,1,99.62,31,1.665,,78,1.2,0,6.8,27.2,66,1.3,-.9,4483804,-.076,17.6,1.33,,17.32538,15.75848,4444653,4.4,17,.98,69.3,15637,78.3,.636,0,98.7,100,,578,77,6,,78,48,78,16.15801,15.26491,4,37,65,4,4,1,3,2,7,,4,2,2,2,,,,2,2,3,4,1,1,1,1,1,3,1,1,36,1,3,2,3,,1,2,1,,3,1,1,2,3,6,37
192,127,3.52,80.08,75.46,81,122,99.8,48340,17.3,71.1,11.7,.6,1.44,1.7,7.778,8,0,0,0,0,13.6,13.6,9.9,,.4,,,,38.3,106.8,106.8,106.4,11.2,11,10.6,75.2,75.8608,75.36,54.4,52.4,,.473,47,63,77.7,34.4,,87.5,0,39,40.426,,1,1,.591,10,43,10,45.9,,,20,66.7,10,61.7,26.7,108.2,,9500,2,,,,,1902,-7,,,2317,12.9,,,,,,,,,45.2,1934,0,0,161,.085,.201,.227,.802,.243,.428,2,1,,.506,9.514,9.873,10.093,8.219,0,0,0,0,0,0,0,3,3,0,1,1,1,34.641,2.6,1.23,1.95,2.94,84,4.8,6,7,5,1.17,,,,3,3,0,0,.472,,,,.307,3,,,64.76,5.667,7.349,2490000,71.64,46,,,.7679,0,11.9,1.805,1.556,1.409,75500,.101,,,3.513,.135,-79999,4.4,384,7428,22.7,3.2,,,,,,,,8,0,31.6,88,2.056,21,510,4.2,7,4.2,22.7,72.9,.7,.8,11087330,-.104,2,,,11.11424,10.41823,1.13e+07,11.2,,1.22,,,,,22,99.8,77,65,437,76,,,68,,68.8,20.34221,18.70357,6,38,36,1,1,4,4,2,8,2,5,1,1,1,3,,,2,1,3,2,,,,,,,,1,37,1,,1,,1,,1,4,1,,2,1,2,6,8,38
196,42,7.4,80.74,75.04,39,84,97.6,0,16.2,73.4,10.4,1.4,1.45,2.4,.833,0,6.6,7,.667,1,7.1,4.1,3,1.8,.4,.81,.793,4,36.5,106.8,106.8,107.1,.9,1.1,.7,70.3,70.854,69.5,57.5,59.9,.65,.284,15,64,77.82,61.1,,100,10,26,70.213,2,7,12,.094,80.3,64,70,72.7,44.8,70,61.5,82.9,80,82.5,70.9,22.7,1.321,29853,3,,,,29,1960,10,1,53.7,179,38.8,,323,1.1,77.83,77.65,16.1,14.3,10.7,10.7,1960,1,100,31,.709,.822,.851,.871,.455,.841,1,1,.396,.396,10.768,11.464,1.372,.284,1,2,2,2,2,0,2,1,2,1,0,1,0,88.21,9.2,2.94,4.21,9.12,106,6.4,4.8,3.6,4.2,10,6.387,.105,.098,2,1,1,0,.833,1,1,,.787,1,0,0,55.2,8.8,0,0,13.83,63,,,.8497,3.19,26.9,1.604,1.599,2.112,12750,3.762,13.7,119.562,1.763,13.976,35000,2.7,3883,10,17.6,15.8,,4.30042,5.611,4.474,5.719,5.298,5.439,14,1,124.45,64,1.094,,77,2,0,2.1,18.6,79.3,2.4,.1,1120489,1.617,5.6,,2,12.23711,11.95185,769954,.8,,1.06,24.9,31410,21.3,.626,0,97.8,100,,412,89,7.1,7.1,89,84,58.7,21.81304,19.38219,2,39,37,4,4,1,2,5,9,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,3,1,1,38,1,,2,,3,,2,1,,3,1,2,3,8,4,39
203,25,7.94,80.66,73.93,65,143,,10970,13.5,70.2,16.3,0,1.26,1.7,0,0,4.7,5,2.667,3,4.6,4.2,5.8,1.3,1.6,.841,.838,-2,39.6,105.7,105.7,104.9,10.4,10.5,10.3,73.5,74.6692,73.5,54.3,58.2,.667,.33,27,65,77.19,40,35.173,63,8,7,63.121,2,7,12,.322,65.5,52,80,80.1,45.6,70,76.4,75.6,65,87.5,69.8,257.7,.681,24712,3,25.4,1,25.4,25.8,1993,8,1,36.3,500,57.8,,136,.7,65.12,82.78,17,15.5,22,22,1920,1,100,21,.78,.86,.905,.911,.609,.81,0,0,.323,.659,13.028,13.305,.097,.178,1,1,2,2,2,2,1,2,2,1,0,1,2,82.396,11.3,3.42,5.19,9.41,117,4.8,3.1,2.4,2.3,9.75,6.114,.03,.037,1,1,1,1,.667,0,1,8.714,.712,,0,0,,8.648,1.662,149400,10.17,48,,,.8681,.86,4.7,1.035,1.283,.451,24100,20.591,3.42,40.823,1,4.325,29999,3,3184,991,17.9,7,.1,4.433403,5.793,3.789,5.003,3.689,6.698,14,1,153.31,6,1.036,,212,1,0,2.2,38.3,59.5,1.5,15.9,10190213,-.12,7.1,1.44,2,14.4014,13.8767,1.02e+07,10.4,,1.08,215.5,20673,256.9,.859,0,,100,183,559,77,6.9,6.8,80,65,99.8,15.4777,14.32343,4,40,38,4,4,3,2,6,7,,4,2,2,2,1,2,2,1,2,3,1,1,1,1,1,1,3,1,1,39,2,3,2,2,2,2,1,1,,3,1,1,2,3,6,40
208,5,9.11,81.14,76.25,67,112,99,262100,17.6,65.3,17.1,.3,1.74,1.8,.833,1,8.1,8,3.333,3,7.9,7.8,8.2,1.4,2.6,.866,.86,-3,40.8,105.8,105.8,105.5,5.5,5.6,5.1,86.9,85.1,85.72,60.3,59.4,.738,.209,2,66,78.63,46.6,63.137,100,10,54,93.617,3,7,12,.082,97.9,93,90,35.9,22,90,93.7,79.3,90,87.5,77.9,201.2,3.218,36607,3,24.7,1,24.7,24.7,1849,10,1,68.2,118,83.3,,162,.3,83.2,81.76,36.9,38,39.1,39.1,1915,1,100,5,.844,.881,.97,.952,.651,.974,0,0,.105,.233,11.315,11.71,3.129,2.633,1,2,2,2,2,2,1,3,3,1,0,1,2,87.294,9.9,2.6,5.51,9.41,221,2.2,2,1.6,1.4,10,8.089,.032,.019,1,1,1,0,.972,0,1,9.766,.934,5,0,0,74.27,9.667,31.963,8734978,7.08,91,0,1,.9228,.18,2.9,1.286,1.379,.593,17200,6.119,4.36,47.231,1.258,8.719,96839,3.1,13170,10,9,7,.2,5.17696,5.836,6.157,5.542,4.859,7.589,15,1,99.32,5,1.337,,59,.8,0,1.1,22.8,76.1,2.6,4,5529888,.251,4.2,2.11,3,15.20453,14.90654,5387200,5.5,12.1,1.03,341.3,62118,202.4,.813,0,,114,353,495,84,8.2,8.3,94,93,68.1,18.56179,18.71526,4,41,41,2,2,1,2,7,10,1,2,2,2,2,1,3,3,1,2,2,1,1,1,1,1,1,1,1,1,40,2,1,2,1,2,2,1,1,,3,1,1,2,7,5,43
262,145,2.99,63.66,58.69,283,335,67.9,0,35,61.7,3.3,2.1,2.71,5.9,1.667,2,3.733,4,9.333,9,8.7,8.4,5.5,3.7,,.402,.382,-1,21.5,102.2,102.2,101.7,.9,1.2,.6,76.2,84.5892,86.5,,,.329,,,68,61.14,,,40.8,3,1,25.768,1,3,4,.796,35.7,30,60,78.2,58.9,60,55.3,70.5,30,31.9,51,1.8,.086,2140,1,,,,39.9,1977,2,0,,1253,2.3,,36,3.5,,27.4,,,,13.8,1946,0,0,143,.141,.282,.339,.494,.446,.509,1,0,.656,.043,,,,,0,0,2,2,0,2,0,1,2,0,0,1,0,36.499,.6,,2.19,3.24,40,7.2,5.5,6.9,7.4,4.75,,,,,3,0,1,,0,0,,.307,2,1,0,67.51,2.2,0,0,67.4,36,0,1,.4676,0,6.3,1.666,2.308,4.315,12950,,,,,13.739,-15996,57.4,20015,762,,,,,,,,,4.369,12,1,134.24,107,2.196,,66,10.1,1,3.2,14.9,81.9,6,,757074,2.237,59,,1,2.892226,3.011863,705480,.8,42,,.9,1030,1.8,.144,0,,85,,862,86,5.7,5.7,89,77,,42.78563,41.13022,1,42,40,1,2,3,1,3,2,,3,1,1,1,1,,,2,1,1,2,2,3,2,2,2,,2,2,41,1,,1,,1,,2,1,,3,2,2,3,1,3,44
214,59,6.67,79.55,75.16,127,188,87,0,29.5,64,6.5,1.9,2.44,3.3,0,0,8,8,0,0,2.2,2.3,1.9,.6,,.663,.638,0,25,104.1,104.1,103.7,10.2,12.4,7.4,69.2,,,43.5,43.5,.407,.646,87,70,77.31,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,,,,,556,21.6,48.5,357,7.8,,,,,,,,1,,104,.316,.579,.455,.411,.553,.846,4,2,.039,.312,7.793,7.331,10.779,10.823,1,0,1,1,0,2,1,1,2,0,0,1,0,66.263,2.1,.86,1.53,7.65,67,5.5,7.9,5.8,5.6,8.25,4.358,,,3,3,0,1,.306,0,1,6.26,.511,2,0,0,68.24,,0,0,28.34,29,,,.7107,1.19,9.9,1.403,1.886,1.316,61000,2.032,1.2,,.606,4.388,-153010,26.7,721,306,45.5,15,.7,3.758958,3.573,2.379,4.227,2.536,5.016,12,1,54.07,99,2.114,,245,22.1,,11.5,21,67.5,6.3,1.5,9956648,1.331,14.2,,,,,,,42.2,1.36,45.5,4576,80.8,.45,0,88.2,,39,794,80,7.6,7.4,69,57,27.6,,,6,43,42,4,4,1,4,2,,1,,2,,2,,,,,,,,,,1,3,1,,,1,,,,,,,,,1,,3,1,,,,,45
626,46,7.24,70.47,65.54,204,275,58.6,96270,33.8,62.5,3.6,2.7,3.13,5.7,.833,1,0,0,0,0,7.1,16.8,11.5,4.7,,.502,.428,11,17.4,104.7,104.7,106.2,1.2,2.1,.7,28.1,,,66.8,63.8,.433,,,71,67.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,,,,39.7,,,,,,,38.5,38.5,,1,,67,.5,.688,.684,.566,.528,.666,0,0,.526,.425,,,,,1,2,2,2,0,2,2,0,2,1,0,1,0,26.438,.2,.06,.48,7.94,,8.2,6.7,5.7,7.1,7.42,3.484,,,2,2,,0,,0,0,7.078,.403,,0,0,59.32,,0,3947025,28.72,30,,,.6008,0,3.7,1.403,1.494,.512,1330,,4.63,,2.402,1.297,-50004,47.6,0,10,,4.3,,3.249949,2.29,3.395,4.863,2.744,,11,1,101.43,53,1.866,,56,3.6,,32.2,12.8,55,7.8,8.5,1177834,1.981,20,,,,,,,42,,.5,453,.9,.197,0,,,,663,,,,,,,,,2,44,151,4,2,4,4,2,,3,,2,,2,,,,,,,,,,2,2,2,,,1,,,,,,,,,1,,3,1,,,,,149
